 output format:carre71 


 Number of X-points:  1
    x                   y                   psi
    1.46695054E+00     -9.28289720E-01     -7.86542911E-05

 Point O:
    1.69550726E+00      1.08526233E-01      2.93462173E-01
 $parameters
repart = 2
distxo = 1.06170876
pntrat = 0.20000000
nptseg(1) =  9
deltp1(1) = 0.0500000
deltpn(1) = 0.0500000
nptseg(2) =  9
deltp1(2) = 0.0500000
deltpn(2) = 0.0500000
nptseg(3) = 49
deltp1(3) = 0.1000000
deltpn(3) = 0.1000000
npr(1) =  9
deltr1(1) =-0.0100000
deltrn(1) =-0.0100000
npr(2) =  9
deltr1(2) = 0.0020000
deltrn(2) = 0.0020000
npr(3) =  9
deltr1(3) = 0.0200000
deltrn(3) = 0.0200000
tgarde(1) = 0.00000
tgarde(2) = 0.00000
nrelax=  400
relax= 5.0000E-01
pasmin= 4.0000E-04
rlcept= 1.0000E-06
$end
 x(m)            y(m)            psi(SI)         dpsi/dx         dpsi/dy
 $maille
'nreg='    3
'region:'    1
'nppol='   65  'nprad='    9
  1.41024167E+00 -8.46296346E-01 -7.43777157E-05  3.80199735E-01  2.53537824E-01
  1.46695054E+00 -9.28289720E-01 -7.86542911E-05  0.00000000E+00  0.00000000E+00
  1.42662060E+00 -9.57817626E-01 -9.16453960E-05  1.34105847E-01 -1.76693997E-01
  1.38704293E+00 -9.87764777E-01 -8.49518769E-05  2.53626715E-01 -3.45404078E-01
  1.34703310E+00 -1.01693139E+00 -9.70618015E-05  3.67342869E-01 -5.00279165E-01
  1.30724851E+00 -1.04627836E+00 -7.97573146E-05  4.73886096E-01 -6.43746200E-01
  1.26737039E+00 -1.07550961E+00 -1.09522619E-04  5.70695593E-01 -7.78547667E-01
  1.22745994E+00 -1.10485617E+00 -8.12144981E-05  6.62624063E-01 -9.01904689E-01
  1.18739452E+00 -1.13430186E+00 -8.58837460E-05  7.49066561E-01 -1.01575328E+00
  1.14721074E+00 -1.16405186E+00 -8.06977620E-05  8.29027253E-01 -1.12139076E+00
  1.71808064E+00 -1.23817163E+00 -1.00657641E-02 -1.52078433E+00 -1.18836486E+00
  1.68734483E+00 -1.19879631E+00 -1.00640929E-02 -1.31819048E+00 -1.02338205E+00
  1.65690413E+00 -1.15929308E+00 -1.00486703E-02 -1.12480632E+00 -8.61237282E-01
  1.62685342E+00 -1.11961229E+00 -1.00501677E-02 -9.39400092E-01 -7.01529539E-01
  1.59751346E+00 -1.07954343E+00 -1.00577750E-02 -7.61627919E-01 -5.42782854E-01
  1.56972227E+00 -1.03873710E+00 -1.00483019E-02 -5.93545343E-01 -3.82095609E-01
  1.54568833E+00 -9.96738297E-01 -1.00644893E-02 -4.43096179E-01 -2.17685190E-01
  1.53121735E+00 -9.53063759E-01 -1.00636501E-02 -3.31581090E-01 -3.72879582E-02
  1.53086827E+00 -9.39748095E-01 -1.00661995E-02 -3.16051231E-01  2.21735931E-02
  1.56004173E+00 -8.80380878E-01 -1.00662439E-02 -3.96553023E-01  3.28230107E-01
  1.62841351E+00 -8.10439454E-01 -1.00674343E-02 -6.91446211E-01  7.31383241E-01
  1.70027867E+00 -7.42755728E-01 -1.00695615E-02 -1.05490814E+00  1.10672981E+00
  1.77049911E+00 -6.74051815E-01 -1.00647940E-02 -1.46011551E+00  1.44277198E+00
  1.83762626E+00 -6.03124696E-01 -1.00323264E-02 -1.90203303E+00  1.72424397E+00
  1.90095658E+00 -5.29530926E-01 -1.00511568E-02 -2.37807307E+00  1.93672797E+00
  1.95963950E+00 -4.52853104E-01 -9.99124430E-03 -2.87562834E+00  2.06332438E+00
  2.01295338E+00 -3.72954557E-01 -1.00046663E-02 -3.37262978E+00  2.08328106E+00
  2.06001568E+00 -2.89760767E-01 -9.99960348E-03 -3.84224587E+00  1.97436059E+00
  2.09980538E+00 -2.03336201E-01 -1.00591955E-02 -4.25774902E+00  1.73157355E+00
  2.13120858E+00 -1.13957327E-01 -1.00363296E-02 -4.59135210E+00  1.36246096E+00
  2.15332077E+00 -2.22293214E-02 -1.00605125E-02 -4.81882926E+00  8.91519929E-01
  2.16541208E+00  7.09986643E-02 -1.00655819E-02 -4.91541834E+00  3.64458745E-01
  2.16712876E+00  1.64670409E-01 -1.00656454E-02 -4.87826164E+00 -1.83137741E-01
  2.15845703E+00  2.57663280E-01 -1.00621419E-02 -4.71013816E+00 -6.98907753E-01
  2.13989414E+00  3.48927717E-01 -1.00350297E-02 -4.42089036E+00 -1.14599526E+00
  2.11204315E+00  4.37559938E-01 -1.00205835E-02 -4.03533260E+00 -1.49338944E+00
  2.07565813E+00  5.22832197E-01 -9.98259451E-03 -3.57076323E+00 -1.73379533E+00
  2.03125492E+00  6.04038416E-01 -9.97360025E-03 -3.06614194E+00 -1.87588249E+00
  1.97928575E+00  6.80484520E-01 -1.00631433E-02 -2.55297039E+00 -1.92486434E+00
  1.92015308E+00  7.51446031E-01 -1.00607903E-02 -2.04741237E+00 -1.88622902E+00
  1.85411850E+00  8.16025581E-01 -1.00007387E-02 -1.55693784E+00 -1.77152379E+00
  1.78104881E+00  8.72748386E-01 -1.00417610E-02 -1.07535468E+00 -1.59944395E+00
  1.69958321E+00  9.17506628E-01 -1.00655097E-02 -5.92726152E-01 -1.40915281E+00
  1.60885483E+00  9.40908374E-01 -1.00686775E-02 -1.07159307E-01 -1.25037095E+00
  1.51525436E+00  9.30796260E-01 -1.00639691E-02  3.63955857E-01 -1.17510965E+00
  1.43122459E+00  8.88965073E-01 -1.00010417E-02  7.98056200E-01 -1.16844418E+00
  1.36007581E+00  8.28718142E-01 -9.96650020E-03  1.19290217E+00 -1.17661762E+00
  1.29971047E+00  7.58107527E-01 -9.97094078E-03  1.55920230E+00 -1.16770033E+00
  1.24821765E+00  6.80882499E-01 -1.00578882E-02  1.89987609E+00 -1.12877201E+00
  1.20455882E+00  5.98903693E-01 -1.00595873E-02  2.21170719E+00 -1.05384092E+00
  1.16814362E+00  5.13309444E-01 -1.00243238E-02  2.48799506E+00 -9.40980422E-01
  1.13867348E+00  4.24876188E-01 -1.00577545E-02  2.72064996E+00 -7.90686601E-01
  1.11608250E+00  3.34191270E-01 -1.00478467E-02  2.90228758E+00 -6.05343016E-01
  1.10037497E+00  2.41777658E-01 -1.00587017E-02  3.02366814E+00 -3.97321683E-01
  1.09164420E+00  1.48130351E-01 -1.00647529E-02  3.08509916E+00 -1.72074102E-01
  1.08985152E+00  5.37452256E-02 -1.00654508E-02  3.07914376E+00  5.42950916E-02
  1.09498508E+00 -4.08980047E-02 -1.00656394E-02  3.00798766E+00  2.70347785E-01
  1.10684160E+00 -1.35347828E-01 -1.00527084E-02  2.87334569E+00  4.63670266E-01
  1.12521728E+00 -2.29201325E-01 -1.00619173E-02  2.68491076E+00  6.17672795E-01
  1.14975307E+00 -3.22126186E-01 -1.00318221E-02  2.44491997E+00  7.26751642E-01
  1.18004283E+00 -4.13870776E-01 -1.00348548E-02  2.16309353E+00  7.82919839E-01
  1.21557187E+00 -5.04296424E-01 -1.00638471E-02  1.84774783E+00  7.81993866E-01
  1.25583499E+00 -5.93345002E-01 -1.00119863E-02  1.50596253E+00  7.22800530E-01
  1.30008112E+00 -6.81155978E-01 -1.00598388E-02  1.14812703E+00  6.03986859E-01
  1.34694389E+00 -7.68180146E-01 -1.00332190E-02  7.83251012E-01  4.26335191E-01
  1.39100374E+00 -8.55596753E-01 -1.00496987E-02  4.40314454E-01  1.80146907E-01
  1.40125605E+00 -9.20455072E-01 -1.00776083E-02  2.92126961E-01 -6.41657581E-02
  1.39702798E+00 -9.33084416E-01 -1.00801351E-02  2.90163575E-01 -1.20870269E-01
  1.37129918E+00 -9.71058144E-01 -1.01026639E-02  3.35385322E-01 -3.03356197E-01
  1.33687326E+00 -1.00451895E+00 -1.00783839E-02  4.17466593E-01 -4.68066580E-01
  1.29954944E+00 -1.03641448E+00 -1.00882180E-02  5.07781767E-01 -6.17391489E-01
  1.26108083E+00 -1.06725664E+00 -1.00741168E-02  5.95268965E-01 -7.55657699E-01
  1.22205578E+00 -1.09769527E+00 -1.00874303E-02  6.81330555E-01 -8.82272253E-01
  1.18266030E+00 -1.12800049E+00 -1.00657671E-02  7.63492385E-01 -9.98839908E-01
  1.14291644E+00 -1.15824699E+00 -1.00735100E-02  8.40666860E-01 -1.10618286E+00
  1.72405152E+00 -1.23350636E+00 -2.46660241E-02 -1.55125470E+00 -1.16105057E+00
  1.69441004E+00 -1.19347258E+00 -2.46630451E-02 -1.35300820E+00 -9.92993484E-01
  1.66524375E+00 -1.15315854E+00 -2.46641623E-02 -1.16447017E+00 -8.26772270E-01
  1.63703141E+00 -1.11243284E+00 -2.46600715E-02 -9.86233775E-01 -6.61324100E-01
  1.61048281E+00 -1.07113109E+00 -2.46571622E-02 -8.19758736E-01 -4.94973396E-01
  1.58748832E+00 -1.02907870E+00 -2.46525997E-02 -6.72243832E-01 -3.24680319E-01
  1.57129730E+00 -9.87776301E-01 -2.46635002E-02 -5.58198197E-01 -1.54612206E-01
  1.56617445E+00 -9.49441710E-01 -2.46672996E-02 -4.97335303E-01  1.38521028E-02
  1.56633672E+00 -9.46757809E-01 -2.46679984E-02 -4.95518258E-01  2.62607036E-02
  1.58239107E+00 -8.93943801E-01 -2.46708126E-02 -5.23909165E-01  2.86778952E-01
  1.63897823E+00 -8.20333026E-01 -2.46792443E-02 -7.56288014E-01  6.90795022E-01
  1.70702631E+00 -7.49524356E-01 -2.46681376E-02 -1.09506217E+00  1.07530214E+00
  1.77556069E+00 -6.78933461E-01 -2.46558574E-02 -1.48705369E+00  1.41685098E+00
  1.84189049E+00 -6.06929648E-01 -2.46506837E-02 -1.92184801E+00  1.70185879E+00
  1.90470569E+00 -5.32549596E-01 -2.46611542E-02 -2.39236410E+00  1.91677652E+00
  1.96302658E+00 -4.55260399E-01 -2.46482101E-02 -2.88478180E+00  2.04580660E+00
  2.01609215E+00 -3.74877242E-01 -2.46387373E-02 -3.37658436E+00  2.06821224E+00
  2.06302914E+00 -2.91298303E-01 -2.46176989E-02 -3.84211270E+00  1.96172280E+00
  2.10274201E+00 -2.04522142E-01 -2.46127297E-02 -4.25352287E+00  1.72159947E+00
  2.13414195E+00 -1.14822206E-01 -2.46416296E-02 -4.58418964E+00  1.35548279E+00
  2.15625145E+00 -2.27702540E-02 -2.46628767E-02 -4.81005385E+00  8.87593583E-01
  2.16837168E+00  7.07802140E-02 -2.46659202E-02 -4.90563222E+00  3.64000932E-01
  2.17011728E+00  1.64781187E-01 -2.46658338E-02 -4.86872524E+00 -1.80039194E-01
  2.16149598E+00  2.58110955E-01 -2.46643261E-02 -4.70123285E+00 -6.92453954E-01
  2.14299304E+00  3.49724484E-01 -2.46431549E-02 -4.41483369E+00 -1.13599238E+00
  2.11523972E+00  4.38736153E-01 -2.46615577E-02 -4.03218792E+00 -1.47997518E+00
  2.07897352E+00  5.24433979E-01 -2.45896107E-02 -3.56959424E+00 -1.71725989E+00
  2.03472910E+00  6.06151127E-01 -2.45745665E-02 -3.06797321E+00 -1.85698942E+00
  1.98293072E+00  6.83214130E-01 -2.46474573E-02 -2.55795325E+00 -1.90356209E+00
  1.92400402E+00  7.54969847E-01 -2.46329308E-02 -2.05622687E+00 -1.86218035E+00
  1.85825598E+00  8.20707560E-01 -2.46606859E-02 -1.57128030E+00 -1.74377699E+00
  1.78531738E+00  8.79120882E-01 -2.46630384E-02 -1.09397359E+00 -1.56458865E+00
  1.70323824E+00  9.26445884E-01 -2.46653513E-02 -6.12695422E-01 -1.36326552E+00
  1.60978797E+00  9.52781160E-01 -2.46700158E-02 -1.22153240E-01 -1.19008631E+00
  1.51182301E+00  9.42383238E-01 -2.46529646E-02  3.58553585E-01 -1.11520934E+00
  1.42533536E+00  8.97752751E-01 -2.46600874E-02  7.96490993E-01 -1.11884201E+00
  1.35380777E+00  8.34917926E-01 -2.46430278E-02  1.18841480E+00 -1.13646301E+00
  1.29364556E+00  7.62641392E-01 -2.46511248E-02  1.55097872E+00 -1.13421958E+00
  1.24250382E+00  6.84264750E-01 -2.46390180E-02  1.88832042E+00 -1.10079380E+00
  1.19915477E+00  6.01466571E-01 -2.46588107E-02  2.19710959E+00 -1.03054594E+00
  1.16296612E+00  5.15257309E-01 -2.46422881E-02  2.46975685E+00 -9.22129076E-01
  1.13368966E+00  4.26316134E-01 -2.46398723E-02  2.69992766E+00 -7.75968057E-01
  1.11126997E+00  3.35192654E-01 -2.46482914E-02  2.88041982E+00 -5.94801423E-01
  1.09564143E+00  2.42397641E-01 -2.46615320E-02  3.00125888E+00 -3.90976503E-01
  1.08689626E+00  1.48396182E-01 -2.46650510E-02  3.06112493E+00 -1.69991366E-01
  1.08509579E+00  5.36631828E-02 -2.46657229E-02  3.05537224E+00  5.21271711E-02
  1.09011660E+00 -4.13312938E-02 -2.46614993E-02  2.98490935E+00  2.64029912E-01
  1.10185558E+00 -1.36141911E-01 -2.46536677E-02  2.85180956E+00  4.53188953E-01
  1.12001296E+00 -2.30386681E-01 -2.46439866E-02  2.66575234E+00  6.03137986E-01
  1.14424468E+00 -3.23745130E-01 -2.46324259E-02  2.42908987E+00  7.07902830E-01
  1.17404766E+00 -4.16009289E-01 -2.46243609E-02  2.15116512E+00  7.59544266E-01
  1.20883566E+00 -5.07091393E-01 -2.46401145E-02  1.84044467E+00  7.53591790E-01
  1.24786469E+00 -5.97051473E-01 -2.46455079E-02  1.50565955E+00  6.87547694E-01
  1.28988979E+00 -6.86220494E-01 -2.46645689E-02  1.15827107E+00  5.58569717E-01
  1.33212178E+00 -7.75081507E-01 -2.46608817E-02  8.13531707E-01  3.65681964E-01
  1.36288251E+00 -8.62474875E-01 -2.46553095E-02  5.30767969E-01  1.01305981E-01
  1.36272582E+00 -9.16158273E-01 -2.46670752E-02  4.42188305E-01 -1.05617957E-01
  1.36210692E+00 -9.18410684E-01 -2.46740372E-02  4.41008402E-01 -1.15147045E-01
  1.34669472E+00 -9.53757912E-01 -2.46818657E-02  4.44871489E-01 -2.69953429E-01
  1.32046386E+00 -9.88640925E-01 -2.46668533E-02  4.89805425E-01 -4.29387902E-01
  1.28741861E+00 -1.02288607E+00 -2.46730890E-02  5.57438352E-01 -5.82769327E-01
  1.25139642E+00 -1.05563255E+00 -2.46792968E-02  6.31749960E-01 -7.24722979E-01
  1.21382055E+00 -1.08744102E+00 -2.46701310E-02  7.09490479E-01 -8.54995897E-01
  1.17545777E+00 -1.11884194E+00 -2.46733183E-02  7.85257120E-01 -9.74732824E-01
  1.13652872E+00 -1.14990381E+00 -2.46684416E-02  8.57698589E-01 -1.08471427E+00
  1.73131976E+00 -1.22807828E+00 -4.23331225E-02 -1.58862686E+00 -1.12883073E+00
  1.70287432E+00 -1.18748188E+00 -4.23290302E-02 -1.39525126E+00 -9.58049404E-01
