 output format:carre71 


 Number of X-points:  1
    x                   y                   psi
    1.46695054E+00     -9.28289720E-01     -7.86542911E-05

 Point O:
    1.69550726E+00      1.08526233E-01      2.93462173E-01
 $parameters
repart = 2
distxo = 1.06170876
pntrat = 0.20000000
nptseg(1) = 38
deltp1(1) = 0.0500000
deltpn(1) = 0.0500000
nptseg(2) = 36
deltp1(2) = 0.0500000
deltpn(2) = 0.0500000
nptseg(3) =147
deltp1(3) = 0.1000000
deltpn(3) = 0.1000000
npr(1) = 18
deltr1(1) =-0.0100000
deltrn(1) =-0.1000000
npr(2) = 18
deltr1(2) = 0.0020000
deltrn(2) = 0.0020000
npr(3) = 18
deltr1(3) = 0.0100000
deltrn(3) = 0.0100000
tgarde(1) = 0.00000
tgarde(2) = 0.00000
nrelax=  400
relax= 5.0000E-01
pasmin= 4.0000E-03
rlcept= 1.0000E-06
$end
 x(m)            y(m)            psi(SI)         dpsi/dx         dpsi/dy
 $maille
'nreg='    3
'region:'    1
'nppol='  219  'nprad='   18
  1.62466082E+00 -8.00708072E-01 -1.37494726E-04 -6.62600368E-01  7.75910303E-01
  1.62989216E+00 -7.96251770E-01 -1.43411541E-04 -6.88007843E-01  8.02108431E-01
  1.63518366E+00 -7.91887316E-01 -1.41575113E-04 -7.14142235E-01  8.28079587E-01
  1.63981990E+00 -7.87571624E-01 -7.98030633E-05 -7.36666795E-01  8.52792727E-01
  1.64755381E+00 -7.81023661E-01 -9.17915266E-05 -7.75331156E-01  8.90741659E-01
  1.65459582E+00 -7.74745825E-01 -8.51431835E-05 -8.10857926E-01  9.26391565E-01
  1.66171956E+00 -7.68594495E-01 -9.88763906E-05 -8.47318179E-01  9.61214722E-01
  1.66836815E+00 -7.62648227E-01 -8.71411069E-05 -8.81623410E-01  9.94552331E-01
  1.67533875E+00 -7.56488170E-01 -1.03582040E-04 -9.17948753E-01  1.02863080E+00
  1.68198920E+00 -7.50545075E-01 -9.43160257E-05 -9.53229975E-01  1.06132912E+00
  1.68858925E+00 -7.44568644E-01 -1.06687333E-04 -9.88420992E-01  1.09336592E+00
  1.69496710E+00 -7.38861153E-01 -7.98256958E-05 -1.02322209E+00  1.12424669E+00
  1.70175646E+00 -7.32564467E-01 -8.85790640E-05 -1.06000864E+00  1.15720168E+00
  1.70837293E+00 -7.26533003E-01 -8.09863859E-05 -1.09676080E+00  1.18895425E+00
  1.71493943E+00 -7.20410290E-01 -8.38360622E-05 -1.13343389E+00  1.22023294E+00
  1.72129110E+00 -7.14487848E-01 -8.15456050E-05 -1.16951283E+00  1.25027434E+00
  1.72785317E+00 -7.08355964E-01 -8.17884471E-05 -1.20717125E+00  1.28107413E+00
  1.73415947E+00 -7.02341365E-01 -8.26794680E-05 -1.24352662E+00  1.31072353E+00
  1.74051459E+00 -6.96395619E-01 -8.24311313E-05 -1.28102921E+00  1.34006312E+00
  1.74653437E+00 -6.90507067E-01 -7.58770364E-05 -1.31651868E+00  1.36785019E+00
  1.75274203E+00 -6.84565537E-01 -7.42724659E-05 -1.35400196E+00  1.39598386E+00
  1.75871497E+00 -6.78717401E-01 -6.96887788E-05 -1.39004648E+00  1.42314827E+00
  1.76466883E+00 -6.72860163E-01 -6.51731439E-05 -1.42624330E+00  1.45002670E+00
  1.77053445E+00 -6.67156650E-01 -7.36315908E-05 -1.46269770E+00  1.47604078E+00
  1.77638245E+00 -6.61246599E-01 -6.49200674E-05 -1.49905763E+00  1.50157577E+00
  1.78218317E+00 -6.55467963E-01 -7.07669332E-05 -1.53597249E+00  1.52647437E+00
  1.78794062E+00 -6.49653391E-01 -6.46735083E-05 -1.57285086E+00  1.55100546E+00
  1.79357770E+00 -6.43868243E-01 -6.70793579E-05 -1.60913929E+00  1.57490770E+00
  1.79947073E+00 -6.37916074E-01 -6.52674715E-05 -1.64795179E+00  1.59942764E+00
  1.80517304E+00 -6.31920403E-01 -4.86402868E-05 -1.68551122E+00  1.62294977E+00
