 output format:carre71 


 Number of X-points:  1
    x                   y                   psi
    1.46695054E+00     -9.28289720E-01     -7.86542911E-05

 Point O:
    1.69550726E+00      1.08526233E-01      2.93462173E-01
 $parameters
repart = 2
distxo = 1.06170876
pntrat = 0.19927342
nptseg(1) = 25
deltp1(1) = 0.0050000
deltpn(1) = 0.0010000
nptseg(2) = 25
deltp1(2) = 0.0050000
deltpn(2) = 0.0010000
nptseg(3) = 49
deltp1(3) = 0.0227245
deltpn(3) = 0.0227245
npr(1) = 19
deltr1(1) =-0.0037110
deltrn(1) =-0.0077110
npr(2) = 19
deltr1(2) = 0.0006814
deltrn(2) = 0.0013558
npr(3) = 19
deltr1(3) = 0.0022270
deltrn(3) = 0.0075924
tgarde(1) = 0.02000
tgarde(2) = 0.02000
nrelax= 5000
relax= 1.0000E-02
pasmin= 1.0000E-03
rlcept= 1.0000E-06
$end
 x(m)            y(m)            psi(SI)         dpsi/dx         dpsi/dy
 $maille
'nreg='    3
'region:'    1
'nppol='   97  'nprad='   19
  1.15598680E+00  4.68320460E-01 -7.27903415E-05  2.62384292E+00 -8.80256027E-01
  1.12259098E+00  3.48330768E-01 -6.01703823E-05  2.89188541E+00 -6.44445930E-01
  1.10195881E+00  2.28330089E-01 -7.25061063E-05  3.05144813E+00 -3.70219281E-01
  1.09332555E+00  1.10074252E-01 -7.85164085E-05  3.10701068E+00 -8.05854511E-02
  1.09550924E+00 -4.88472697E-03 -7.61306265E-05  3.05819524E+00  1.93808697E-01
  1.10717373E+00 -1.15259321E-01 -7.19135551E-05  2.92018530E+00  4.32814137E-01
  1.12681556E+00 -2.20037212E-01 -6.11652782E-05  2.71655339E+00  6.15067370E-01
  1.15273667E+00 -3.18495962E-01 -6.90846153E-05  2.46294474E+00  7.37225849E-01
  1.18329059E+00 -4.10163211E-01 -6.37520578E-05  2.17869868E+00  7.98073693E-01
  1.21688860E+00 -4.94772102E-01 -5.84575748E-05  1.88013184E+00  8.03389613E-01
  1.25211936E+00 -5.72176887E-01 -3.17337149E-05  1.58069083E+00  7.62782198E-01
  1.28767262E+00 -6.42337716E-01 -2.89946397E-05  1.29188537E+00  6.87172257E-01
  1.32247472E+00 -7.05210714E-01 -7.48631749E-05  1.02017604E+00  5.87634960E-01
  1.35555472E+00 -7.60781974E-01 -3.97288105E-05  7.71696625E-01  4.74336255E-01
  1.38599288E+00 -8.09066677E-01 -5.74228203E-05  5.51179653E-01  3.56557484E-01
  1.41291051E+00 -8.50113137E-01 -3.90773975E-05  3.61837830E-01  2.42628650E-01
  1.43578526E+00 -8.83750886E-01 -6.16657511E-05  2.05173688E-01  1.41162842E-01
  1.45322335E+00 -9.10320179E-01 -6.38240304E-05  8.67957267E-02  5.60512985E-02
  1.46695054E+00 -9.28289720E-01 -7.86542911E-05  0.00000000E+00  0.00000000E+00
  1.46295627E+00 -9.31297349E-01 -6.65846484E-05  1.36619724E-02 -1.83233892E-02
  1.45725007E+00 -9.35594045E-01  6.03275756E-06  3.28318277E-02 -4.40969182E-02
  1.45000019E+00 -9.41053108E-01 -7.97391941E-05  5.69066374E-02 -7.66975004E-02
  1.44137489E+00 -9.47547843E-01  3.73606870E-05  8.55550691E-02 -1.14910072E-01
  1.43135502E+00 -9.54686180E-01 -1.03306321E-04  1.18423586E-01 -1.57700385E-01
  1.42059799E+00 -9.62950875E-01 -8.20403957E-05  1.52016484E-01 -2.05324114E-01
  1.40860558E+00 -9.71418163E-01 -8.60056309E-05  1.90011464E-01 -2.54428323E-01
  1.39610785E+00 -9.80677112E-01 -8.62621805E-05  2.27549093E-01 -3.06837372E-01
  1.38312733E+00 -9.90420520E-01 -9.11612252E-05  2.65568055E-01 -3.60265132E-01
  1.36974478E+00 -1.00039923E+00 -8.78367657E-05  3.03743592E-01 -4.13894431E-01
  1.35613180E+00 -1.01048886E+00 -7.87748232E-05  3.41682188E-01 -4.66880114E-01
  1.34239460E+00 -1.02047314E+00 -9.44183671E-05  3.79718270E-01 -5.18104425E-01
  1.32881064E+00 -1.03037493E+00 -1.02909054E-04  4.16434254E-01 -5.67802401E-01
  1.31555816E+00 -1.04008073E+00 -1.03254768E-04  4.52207323E-01 -6.14489805E-01
  1.30280464E+00 -1.04946236E+00 -9.54418510E-05  4.85187053E-01 -6.59191880E-01
  1.29071657E+00 -1.05839090E+00 -7.91980736E-05  5.14667178E-01 -7.01465264E-01
  1.27942506E+00 -1.06668795E+00 -1.00848225E-04  5.41856892E-01 -7.39363195E-01
  1.26910549E+00 -1.07423526E+00 -1.08116908E-04  5.66583266E-01 -7.72955560E-01
  1.25996030E+00 -1.08095376E+00 -7.86556381E-05  5.88294325E-01 -8.02235582E-01
  1.25213699E+00 -1.08668750E+00 -1.06556683E-04  6.06439465E-01 -8.26773132E-01
  1.24581196E+00 -1.09132093E+00 -8.44147637E-05  6.21157612E-01 -8.46336350E-01
  1.24117536E+00 -1.09475637E+00 -9.27868019E-05  6.31664864E-01 -8.60623514E-01
  1.23835697E+00 -1.09681611E+00 -1.00072061E-04  6.38071897E-01 -8.69150193E-01
  1.23754962E+00 -1.09740614E+00 -1.00810595E-04  6.39908460E-01 -8.71584139E-01
  1.61704813E+00 -1.11576375E+00 -3.77960628E-03 -8.86594877E-01 -6.91276578E-01
