 output format:carre71 


 Number of X-points:  1
    x                   y                   psi
    1.81305083E+00      2.51552105E-01      2.20559701E-02

 Point O:
    1.81305083E+00      2.51552105E-01      2.20559701E-02
 $parameters
repart = 2
distxo = 1.13610491
pntrat = 0.20000000
nptseg(1) =272
deltp1(1) = 0.0012500
deltpn(1) = 0.0012500
npr(1) = 16
deltr1(1) = 0.0020000
deltrn(1) = 0.0150000
npr(2) = 11
deltr1(2) =-0.0050000
deltrn(2) =-0.0500000
tgarde(1) = 0.00000
tgarde(2) = 0.00000
nrelax=  500
relax= 1.0000E-01
pasmin= 1.0000E-02
rlcept= 1.0000E-06
$end
 x(m)            y(m)            psi(SI)         dpsi/dx         dpsi/dy
 $maille
'nreg='    2
'region:'    1
'nppol='  272  'nprad='   16
  2.24510379E+00 -8.21599251E-01  2.20484356E-02 -4.45348111E-01 -4.48043494E-01
  2.26686573E+00 -8.42685266E-01  2.20528820E-02 -4.27097911E-01 -4.52928475E-01
  2.28939822E+00 -8.63362119E-01  2.20482881E-02 -4.08182160E-01 -4.57564583E-01
  2.31669288E+00 -8.86882998E-01  2.20460820E-02 -3.85800604E-01 -4.62589315E-01
  2.33682173E+00 -9.03269605E-01  2.20558984E-02 -3.69367631E-01 -4.65801599E-01
  2.36170443E+00 -9.22417596E-01  2.20545439E-02 -3.49274831E-01 -4.69442506E-01
  2.38741123E+00 -9.40900018E-01  2.20485906E-02 -3.28625189E-01 -4.72964573E-01
  2.40071185E+00 -9.49954770E-01  2.20482771E-02 -3.17968537E-01 -4.74713256E-01
  2.41392921E+00 -9.58669012E-01  2.20486668E-02 -3.07362373E-01 -4.76409730E-01
  2.44127513E+00 -9.75625691E-01  2.20497439E-02 -2.85433103E-01 -4.79850407E-01
  2.46945947E+00 -9.91663904E-01  2.20505170E-02 -2.62590038E-01 -4.83253868E-01
  2.49847968E+00 -1.00668168E+00  2.20511292E-02 -2.39179953E-01 -4.86558137E-01
  2.51333022E+00 -1.01375430E+00  2.20510169E-02 -2.27206831E-01 -4.88201261E-01
  2.52832418E+00 -1.02057394E+00  2.20524421E-02 -2.15136025E-01 -4.89791238E-01
  2.55897417E+00 -1.03322689E+00  2.20554481E-02 -1.90416561E-01 -4.93093414E-01
  2.58646713E+00 -1.04318368E+00  2.20543221E-02 -1.68174208E-01 -4.96199139E-01
  2.62125672E+00 -1.05396558E+00  2.20536444E-02 -1.40208155E-01 -5.00454256E-01
  2.65541102E+00 -1.06251828E+00  2.20548304E-02 -1.12366733E-01 -5.05152977E-01
  2.67385849E+00 -1.06636546E+00  2.20539853E-02 -9.72495626E-02 -5.07929152E-01
  2.70013704E+00 -1.07083819E+00  2.20552232E-02 -7.55001186E-02 -5.12198802E-01
  2.72316156E+00 -1.07376071E+00  2.20552787E-02 -5.62860690E-02 -5.16266908E-01
  2.75722748E+00 -1.07650429E+00  2.20558766E-02 -2.76625179E-02 -5.22820579E-01
  2.80225335E+00 -1.07723001E+00  2.20559889E-02  1.06888516E-02 -5.32487794E-01
  2.83560863E+00 -1.07568213E+00  2.20565021E-02  3.94506104E-02 -5.40363432E-01
  2.86185683E+00 -1.07324916E+00  2.20562815E-02  6.23680985E-02 -5.46958411E-01
  2.89684756E+00 -1.06834130E+00  2.20559745E-02  9.32389689E-02 -5.56255904E-01
  2.93171516E+00 -1.06151919E+00  2.20559703E-02  1.24477278E-01 -5.66057989E-01
  2.96641617E+00 -1.05304834E+00  2.20562997E-02  1.56012756E-01 -5.76232631E-01
  3.00084856E+00 -1.04285796E+00  2.20560001E-02  1.88039478E-01 -5.86675858E-01
  3.04291583E+00 -1.02810211E+00  2.20556333E-02  2.27873181E-01 -5.99688514E-01
  3.06873016E+00 -1.01783488E+00  2.20554443E-02  2.53163126E-01 -6.07673512E-01
  3.10209236E+00 -1.00315984E+00  2.20555519E-02  2.86680752E-01 -6.17754470E-01
