          13
$structures
Structure    1
          17
   1.962000     -0.5611000    
   2.038000     -0.5611000    
   1.897186     -0.8360901    
   1.759277      -1.114886    
   1.662046      -1.257756    
   1.556877      -1.259740    
   1.555700      -1.237800    
   1.558200      -1.233500    
   1.598400      -1.232500    
   1.636100     -0.9965001    
   1.652700     -0.9507000    
   1.676400     -0.9083000    
   1.709600     -0.8543000    
   1.794900     -0.7330000    
   1.834700     -0.6860000    
   1.952400     -0.5633000    
   1.962000     -0.5611000    
Structure    2
          21
   1.136900     -0.6513000    
   1.143100     -0.6557000    
   1.183600     -0.7189001    
   1.248600     -0.8210000    
   1.271800     -0.8632001    
   1.286000     -0.9029000    
   1.293000     -0.9445000    
   1.293000     -0.9772000    
   1.284300      -1.009000    
   1.265400      -1.050100    
   1.237200      -1.098000    
   1.233700      -1.112200    
   1.235200      -1.126800    
   1.242600      -1.143300    
   1.238200      -1.150200    
   1.231700      -1.151600    
   1.201000      -1.121600    
   1.110779     -0.9873863    
   1.112500     -0.6635000    
   1.131700     -0.6516000    
   1.136900     -0.6513000    
Structure    3
           7
   1.553433       1.338853    
   1.827568       1.230987    
   1.799000       1.085000    
   1.792000       1.083000    
   1.643600       1.138800    
   1.491000       1.204400    
   1.553433       1.338853    
Structure    4
           8
   1.457485       1.335277    
   1.489100       1.219700    
   1.330200       1.089300    
   1.132000      0.8240001    
   1.125000      0.8210000    
   1.015889      0.9306294    
   1.295984       1.253633    
   1.457485       1.335277    
Structure    5
           9
   1.951700      0.8860000    
   2.053900      0.8860000    
   2.053900      0.8738000    
   2.233000      0.5814000    
   2.233000      0.5500000    
   2.143000      0.5500000    
   1.943500      0.8770000    
   1.945000      0.8830000    
   1.951700      0.8860000    
Structure    6
          10
   1.460800      -1.062600    
   1.554600      -1.174700    
   1.555300      -1.186400    
   1.539100      -1.199800    
   1.347787      -1.188601    
   1.283500      -1.130500    
   1.279200      -1.125100    
   1.279900      -1.098000    
   1.323900      -1.062700    
   1.460800      -1.062600    
Structure    7
          -2
   1.522486       1.212206    
   1.451003       1.227843    
Structure    8
          -2
   1.795808       1.095778    
   1.966754      0.8806887    
Structure    9
         -16
   1.128236      0.8255953    
   1.164440      0.7689300    
   1.124860      0.6338770    
   1.093370      0.4988240    
   1.069660      0.3637710    
   1.053500      0.2287180    
   1.044750      9.3665004E-02
   1.043340     -4.1388001E-02
   1.049500     -0.1800330    
   1.063500     -0.3192080    
   1.084500     -0.4531910    
   1.111730     -0.5816000    
   1.018935     -0.7050002    
   1.072600     -0.7050000    
   1.072600     -0.6800000    
   1.094600     -0.6800000    
Structure   10
         -15
   1.950976     -0.5904012    
   2.066924     -0.3963661    
   2.097210     -0.3391730    
   2.131130     -0.2628660    
   2.158860     -0.1840990    
   2.180220     -0.1033730    
   2.195090     -2.1202102E-02
   2.203360      6.1892103E-02
   2.204980      0.1453810    
   2.199950      0.2287340    
   2.188290      0.3114210    
   2.170090      0.3929170    
   2.145440      0.4727030    
   2.130000      0.5170000    
   2.146057      0.5569512    
Structure   11
          -2
   1.090726     -0.6830364    
   1.116158     -0.6644781    
Structure   12
          -2
   1.234720      -1.141912    
   1.282726      -1.120092    
Structure   13
          -2
   1.539336      -1.192100    
   1.565957      -1.237487    
$end
