 output format:carre71 


 Number of X-points:  2
    x                   y                   psi
    1.41074547E+00      1.17056252E+00     -1.33810026E-01
    1.42196707E+00     -9.53296749E-01     -1.64626841E-05

 Point O:
    1.72735333E+00      1.03122777E-01      5.66017896E-01
 X-points are not connected.


 $parameters
repart = 2
distxo = 1.09967404
pntrat = 0.26051983
nptseg(1) = 20
deltp1(1) = 0.0246086
deltpn(1) = 0.0030182
nptseg(2) = 17
deltp1(2) = 0.0161549
deltpn(2) = 0.0019814
nptseg(3) = 56
deltp1(3) = 0.0145638
deltpn(3) = 0.0145638
nptseg(4) = 48
deltp1(4) = 0.0189384
deltpn(4) = 0.0189384
nptseg(5) = 25
deltp1(5) = 0.0613322
deltpn(5) = 0.0018400
nptseg(6) = 20
deltp1(6) = 0.0490601
deltpn(6) = 0.0014719
npr(1) = 10
deltr1(1) =-0.0119978
deltrn(1) =-0.0057768
npr(2) = 10
deltr1(2) =-0.0015144
deltrn(2) =-0.0702194
npr(3) = 10
deltr1(3) = 0.0036325
deltrn(3) = 0.0026455
npr(4) = 10
deltr1(4) =-0.0017259
deltrn(4) =-0.0120110
npr(5) = 10
deltr1(5) = 0.0030601
deltrn(5) = 0.0230941
npr(6) = 10
deltr1(6) = 0.0126989
deltrn(6) = 0.0126989
tgarde(1) = 0.00000
tgarde(2) = 0.00000
tgarde(3) = 0.00000
tgarde(4) = 0.00000
nrelax= 5000
relax= 1.0000E-02
pasmin= 1.0000E-03
rlcept= 1.0000E-06
$end
 x(m)            y(m)            psi(SI)         dpsi/dx         dpsi/dy
 $maille
'nreg='    6
'region:'    1
'nppol='  146  'nprad='   10
  2.10404678E+00 -1.68192897E-01  5.93031279E-05 -3.91163985E+00  1.58559331E+00
  2.11403374E+00 -1.42085912E-01  2.55652201E-05 -4.02340263E+00  1.44390228E+00
  2.13115207E+00 -8.88710467E-02  6.19337125E-06 -4.15065962E+00  1.21319515E+00
  2.14946641E+00 -9.29281323E-03  1.13622421E-05 -4.33402983E+00  7.36564721E-01
  2.15401251E+00  2.12945593E-02 -1.42137380E-05 -4.35969363E+00  5.66509278E-01
  2.16056526E+00  1.33634337E-01 -1.60756160E-05 -4.36819859E+00 -8.08630045E-02
  2.15031590E+00  2.44887859E-01 -1.12203348E-05 -4.26251290E+00 -6.98492620E-01
  2.14660942E+00  2.65697060E-01  4.10067095E-06 -4.22522264E+00 -8.18485736E-01
  2.12410749E+00  3.51790653E-01 -1.26274510E-05 -3.96151913E+00 -1.27578049E+00
  2.09384245E+00  4.31256580E-01  1.43798763E-05 -3.64716915E+00 -1.60725773E+00
  2.08452626E+00  4.51900395E-01 -8.09592470E-06 -3.56426472E+00 -1.67860860E+00
  2.06420989E+00  4.91819021E-01  6.87466998E-06 -3.35222140E+00 -1.80794818E+00
  2.03418946E+00  5.43362889E-01  2.34096118E-05 -3.06618855E+00 -1.92760172E+00
  1.97630732E+00  6.25302867E-01  8.63282435E-06 -2.56608244E+00 -2.03615381E+00
  1.91357362E+00  6.97215992E-01  8.62429895E-06 -2.09378766E+00 -2.01544908E+00
  1.89769528E+00  7.13364528E-01  3.23383648E-05 -1.98489820E+00 -1.99713826E+00
  1.84870743E+00  7.59201899E-01 -2.86625309E-06 -1.67056299E+00 -1.90727575E+00
  1.78382936E+00  8.11264114E-01 -1.84970151E-05 -1.28675483E+00 -1.76361650E+00
  1.72046666E+00  8.52906248E-01 -3.26165804E-05 -9.34217370E-01 -1.59997694E+00
  1.66015436E+00  8.83516289E-01 -3.93555239E-05 -6.13476488E-01 -1.44028886E+00
  1.62526150E+00  8.96560186E-01 -5.84053345E-05 -4.29842164E-01 -1.34876171E+00
  1.60466097E+00  9.02436311E-01 -1.77550430E-05 -3.21609846E-01 -1.29971777E+00
  1.59075159E+00  9.05494589E-01 -1.85781106E-05 -2.50523581E-01 -1.26721736E+00
  1.55643414E+00  9.10054712E-01 -2.09708285E-05 -8.08180415E-02 -1.18179636E+00
  1.55154973E+00  9.10310315E-01 -2.45311863E-05 -5.71476736E-02 -1.17027159E+00
  1.53487234E+00  9.10556416E-01 -2.34078511E-05  2.33103340E-02 -1.13200061E+00
  1.51821962E+00  9.09612217E-01 -9.34613677E-06  1.03556804E-01 -1.09579611E+00
  1.51575240E+00  9.09421007E-01 -8.98845939E-06  1.15486455E-01 -1.09051285E+00
  1.49176409E+00  9.05357713E-01 -2.37063938E-06  2.32418997E-01 -1.04278450E+00
  1.48766215E+00  9.04437022E-01 -3.60871564E-08  2.52709692E-01 -1.03451818E+00
  1.47883630E+00  9.02027896E-01  3.34775044E-05  2.96503316E-01 -1.01529006E+00
  1.47768001E+00  9.01686615E-01  3.28274432E-05  3.02270680E-01 -1.01282290E+00
  1.47650358E+00  9.01329687E-01  3.96803561E-05  3.08175231E-01 -1.01034829E+00
  1.47532715E+00  9.00972759E-01  4.40540365E-05  3.14088108E-01 -1.00788320E+00
  1.46750859E+00  8.98392243E-01  6.64194585E-05  3.53571317E-01 -9.91979678E-01
  1.45981462E+00  8.95449050E-01  4.25786273E-05  3.92660901E-01 -9.77230869E-01
  1.45129442E+00  8.91761258E-01  8.41665107E-05  4.36263604E-01 -9.61388239E-01
  1.42620001E+00  8.78532160E-01 -7.05532529E-06  5.63412018E-01 -9.17122006E-01
  1.40524209E+00  8.64011385E-01  8.54585559E-05  6.70121109E-01 -8.82670977E-01
  1.38291150E+00  8.45326935E-01 -1.09559234E-05  7.84243353E-01 -8.48831937E-01
  1.36395153E+00  8.26398363E-01  1.87029252E-06  8.82375808E-01 -8.19851522E-01
  1.33634035E+00  7.93430416E-01  3.65366989E-06  1.02574376E+00 -7.80643804E-01
  1.33087853E+00  7.86048771E-01  2.86049557E-05  1.05353766E+00 -7.73533228E-01
  1.31248956E+00  7.59356865E-01  6.13020314E-05  1.14884673E+00 -7.47039935E-01
  1.29660561E+00  7.33563032E-01  1.12291584E-04  1.23169973E+00 -7.26004423E-01
  1.29086416E+00  7.23824626E-01 -6.95282334E-06  1.26197778E+00 -7.18592859E-01
  1.28862645E+00  7.19846597E-01  5.00358989E-06  1.27375779E+00 -7.15256044E-01
  1.26768582E+00  6.79883844E-01  2.37114009E-05  1.38492918E+00 -6.83837594E-01
  1.24864250E+00  6.38981815E-01  1.78029480E-05  1.48819004E+00 -6.52591706E-01
  1.21093884E+00  5.41418760E-01 -8.78487837E-06  1.69918878E+00 -5.75970090E-01
