 output format:carre71 


 Number of X-points:  1
    x                   y                   psi
    1.44946942E+00     -9.45684086E-01      1.49556535E-06

 Point O:
    1.68785930E+00      7.13234668E-02      6.57086738E-02
 $parameters
repart = 2
distxo = 1.04457365
pntrat = 0.40000000
nptseg(1) = 12
deltp1(1) = 0.0300000
deltpn(1) = 0.0200000
nptseg(2) = 13
deltp1(2) = 0.0300000
deltpn(2) = 0.0200000
nptseg(3) = 53
deltp1(3) = 0.0750000
deltpn(3) = 0.0750000
npr(1) = 30
deltr1(1) =-0.0010000
deltrn(1) =-0.0020000
npr(2) = 30
deltr1(2) = 0.0005000
deltrn(2) = 0.0005000
npr(3) = 30
deltr1(3) = 0.0003000
deltrn(3) = 0.0030000
tgarde(1) = 0.00000
tgarde(2) = 0.00000
nrelax=  800
relax= 2.0000E-02
pasmin= 1.0000E-06
rlcept= 1.0000E-06
$end
 x(m)            y(m)            psi(SI)         dpsi/dx         dpsi/dy
 $maille
'nreg='    3
'region:'    1
'nppol='   76  'nprad='   30
  1.27846794E+00 -6.37637101E-01  1.46135284E-05  2.26070535E-01  1.09703608E-01
  1.29060051E+00 -6.62148884E-01  2.06505428E-05  2.08039974E-01  1.03930655E-01
  1.30304296E+00 -6.86628280E-01  2.24550486E-05  1.89914306E-01  9.74466307E-02
  1.30762009E+00 -6.95582625E-01  2.97027832E-05  1.83342074E-01  9.48665023E-02
  1.32252405E+00 -7.23940426E-01  2.76894305E-05  1.62255151E-01  8.62533339E-02
  1.34753365E+00 -7.70280809E-01  9.40241227E-06  1.27853215E-01  7.05101214E-02
  1.36684017E+00 -8.04773062E-01  2.19430795E-05  1.02283481E-01  5.77819365E-02
  1.38883239E+00 -8.43619148E-01  1.51330552E-05  7.38670430E-02  4.25262966E-02
  1.44946942E+00 -9.45684086E-01  1.49556535E-06  2.22044605E-16  0.00000000E+00
  1.39152678E+00 -9.84614388E-01 -3.00260264E-06  2.59468314E-02 -3.87301547E-02
  1.35579680E+00 -1.00788619E+00 -7.36165312E-06  3.98423099E-02 -6.21840559E-02
  1.32668783E+00 -1.02617346E+00 -1.17757315E-05  5.11088074E-02 -8.10919566E-02
  1.31883738E+00 -1.03133079E+00 -1.59845296E-05  5.39852283E-02 -8.62283265E-02
  1.31022628E+00 -1.03672994E+00  1.31057832E-06  5.72158574E-02 -9.17201839E-02
  1.29500629E+00 -1.04616405E+00 -1.54711224E-06  6.23176362E-02 -1.01409975E-01
  1.27201285E+00 -1.06012879E+00 -7.61947187E-06  6.92631552E-02 -1.15749114E-01
  1.26723279E+00 -1.06304664E+00 -5.63594320E-06  7.06677838E-02 -1.18683042E-01
  1.25369588E+00 -1.07098561E+00 -1.10850393E-05  7.47758012E-02 -1.26699500E-01
  1.19023239E+00 -1.10793675E+00 -7.38503421E-06  9.36161053E-02 -1.63030480E-01
  1.16213917E+00 -1.12401409E+00 -2.40261668E-06  1.01628472E-01 -1.78496314E-01
  1.14473948E+00 -1.13387287E+00 -6.50693881E-06  1.06503930E-01 -1.87961253E-01
